"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-01","52","56","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-02","45","50","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-03","50","59","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-04","53","64","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-05","57","61","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-06","49","58","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-07","51","64","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-08","56","60","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-09","57","59","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-10","57","62","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-11","51","57","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-12","53","64","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-13","56","63","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-14","54","56","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-15","51","53","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-16","50","57","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-17","45","52","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-18","44","55","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-19","48","54","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-20","46","55","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-21","44","55","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-23","44","54","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-24","44","59","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-25","46","60","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-26","48","64","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-27","49","63","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-28","49","61","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-29","47","53","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-30","45","53","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-31","42","54","32"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-01","45","62","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-02","49","64","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-03","54","68","44"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-04","53","68","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-05","56","59","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-06","43","52","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-07","46","59","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-08","48","63","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-09","52","68","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-10","54","69","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-11","53","58","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-12","49","59","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-13","51","65","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-15","42","55","31"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-16","45","60","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-17","48","61","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-18","47","63","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-19","50","66","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-20","52","68","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-21","54","68","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-22","46","52","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-23","42","52","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-24","45","49","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-25","42","46","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-26","43","52","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-27","48","53","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-28","45","51","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-01","44","51","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-02","45","57","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-03","48","59","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-04","51","56","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-05","48","50","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-06","46","58","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-07","49","58","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-08","49","59","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-09","50","59","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-10","55","62","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-11","60","71","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-12","60","68","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-13","59","71","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-14","60","64","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-15","56","61","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-16","53","66","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-17","58","69","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-18","60","70","49"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-19","60","67","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-20","58","","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-21","57","63","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-22","51","57","47"
