"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-01",,"60","41"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-02",,"50","39"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-03",,"48","42"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-04",,"64","42"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-05",,"57","44"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-06",,"60","43"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-07",,"61","46"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-08",,"62","52"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-09",,"60","44"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-10",,"60","46"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-11",,"60","46"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-12",,"66","47"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-13",,"59","48"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-14",,"58","46"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-15",,"53","46"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-16",,"55","41"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-17",,"56","35"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-18",,"56","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-19",,"52","35"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-20",,"52","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-21",,"57","29"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-22",,"58","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-23",,"58","40"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-24",,"60","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-25",,"65","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-26",,"63","40"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-27",,"66","34"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-28",,"61","34"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-29",,"51","42"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-30",,"52","34"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-01-31",,"58","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-01",,"55","31"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-02",,"56","30"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-03",,"53","45"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-04",,"59","39"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-05",,"56","40"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-06",,"59","33"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-07",,"59","36"
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2023-02-08",,"64","35"
